avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
0.4,43.0,2019-05-23,2019-04-23,Playing Cards,Brisbane,Lands of CROM Trading Card Game is a dice and coin turn-based strategy game for 2 players set deep within the medieval age.,123,"{25: 0, 60: 2}",0,1157,$,30000,0.57,172,4,3,First created,0,2,5,0,Matthew Raftery,2,1,AU,Cancelled by Creator,Lands of CROM Trading Card Game
1.33,700.33,2019-05-24,2019-03-26,Food,Gävle,Gävle har en stolt historia gällande smaker och dofter.  Tillsammans med dig bevarar Pastillfabriken historian och bygger framtiden!,132,"{5: 1, 399: 4, 999: 2, 2: 1, 4: 0, 19: 0}",0,2188,kr,200000,3.15,6303,9,0,First created,0,8,6,0,Pastillfabriken,1,0,Sweden,Cancelled by Creator,Pastillfabriken - nu bygger vi Gävles nygamla stolthet!
0.67,114.2,2019-05-05,2019-04-14,Food,Munich,"Hacken, Schneiden, Schnippeln - Das Schneidebrett mit der perfekten Ordnung und auch noch schön anzuschauen.",108,"{279: 2, 299: 0, 319: 0}",0,2418,€,6000,9.52,571,5,0,First created,0,2,3,1,Philipp,5,1,Germany,Funding Unsuccessful,"Das Brett - cut it, keep it, store it, love it."
0.0,1.0,2019-06-02,2019-04-03,Performance Art,Montreal,"Plateforme collaborative entre artistes, promoteurs et producteurs.",67,"{20: 0, 40: 0}",0,4739,$,8600,0.01,1,1,0,First created,0,0,2,0,Christian Ndela,2,1,Canada,Cancelled by Creator,Plateforme collaborative.
3.4,26.8,2019-05-11,2019-03-12,Music,London,This album will allow you to connect to your heart and give you the trust you need to be your best self.,104,"{10: 11, 30: 5, 50: 1, 100: 0, 375: 0}",0,3204,£,15000,4.47,670,25,0,First created,0,17,5,0,Tessa Berkelmans,3,1,UK,Cancelled by Creator,Live the story you want to tell
0.0,1.0,2019-05-12,2019-04-12,Comedy,Long Beach,Bring MADAME to Long Beach!,27,{25: 0},0,1079,$,2200,0.05,1,1,0,2,0,0,1,0,Jacki Karmichael,1,0,CA,Cancelled by Creator,"Madame to take SoCal ""Residency""?"
0.0,1.0,2019-05-14,2019-03-15,Children's Books,New Orleans,"A 32 page, rhyming picture book about a coconut trying to find his place in the world. Written for children ages 4 to 10 year old.",130,"{20: 0, 50: 0, 1: 0}",0,427,$,21360,0.0,1,1,0,First created,0,0,3,0,Captain Jack Martin,1,0,LA,Cancelled by Creator,One Coconut: Funds for the illustration of a children's book
0.5,42.0,2019-05-17,2019-03-18,Art,San Francisco,A Tarot Deck merging all of the worlds mythology and spiritualism into one beautiful story of human existence.,110,"{25: 1, 100: 0}",0,2138,$,3500,3.6,126,3,0,1,0,1,2,2,Bettie Avalon,1,0,CA,Cancelled by Creator,Tarot of the Gods - A new view on an old tradition.
3.0,572.81,2019-05-30,2019-04-29,Video Games,Stockholm,Hunter Gatherer is a card game combined with Battle Royale-style gameplay elements where you survive in a persistent 3D world.,126,"{100: 1, 245: 11, 450: 12, 535: 1, 800: 3, 895: 3, 1: 1, 2: 0, 5: 1, 25: 0, 85: 0}",0,8452,kr,500000,4.24,21194,37,2,First created,0,33,11,1,Jojje Dalunde,37,1,Sweden,Cancelled by Creator,Hunter Gatherer: A Digital Card Game to Play With Friends
2.0,341.0,2019-05-14,2019-04-16,Product Design,Montreal,Beautiful Hand Finished Watches With Swiss Made Chronograph Movements.,70,"{209: 9, 239: 2, 269: 0, 409: 0, 619: 0, 829: 1, 899: 2}",0,6008,$,17000,30.09,5115,15,5,First created,0,14,7,1,AC Timepiece,1,1,Canada,Cancelled by Creator,The Saint Martin: What A Luxury Watch Should Be
