avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
3.0,84.88,2019-05-02,2019-04-02,Hardware,Metropolis,"The worlds first Perpetual, Portable Power Unit, a 360W Free Electricity Power Generator that charges itself while you work or play",131,"{10: 0, 300: 6}",0,8124,$,25000,8.49,2122,25,93,First created,0,6,2,2,AI Industries LLC,17,1,IL,Cancelled by Creator,AI PowerCube: The 360Watt 120Volt Perpetual Energy Generator
15.0,51.07,2019-05-02,2019-04-02,Narrative Film,London,A female-led short film set in an eco-dystopian future that takes the classic 'lone ranger' narrative & flips traditional gender roles.,135,"{5: 18, 10: 83, 20: 42, 35: 12, 50: 4, 75: 8, 100: 4, 150: 2, 250: 3, 500: 0, 1: 4}",1,4620,£,10000,102.65,10265,201,2,1,0,180,12,6,Rona Bradley,20,1,UK,Funding Successful,"GIMCRACK: a post-apocalyptic, sci-fi western"
0.5,44.25,2019-05-01,2019-03-02,Web,Amherst,A self-serve online advertising platform designed to provide an affordable and effective option specifically for local businesses.,130,"{1: 0, 5: 0, 25: 1, 125: 1}",0,2118,$,50000,0.35,177,4,0,First created,0,2,4,0,Joseph Davis,0,1,MA,Cancelled by Creator,Ad-Avis: Local Business Online Advertising
2.5,21.33,2019-05-02,2019-04-02,Art,Toronto,The new pin project combines both my passions for design and empowerment. I hope you'll enjoy these new designs as much as I do!,128,"{8: 8, 12: 0, 24: 5, 35: 1, 46: 0, 52: 1}",0,274,$,350,109.71,384,18,0,1,0,15,6,1,Kathryn Dos Santos,17,0,Canada,Funding Successful,Feminist • An Empowerment Hard Enamel Pin Collection
38.0,36.85,2019-05-02,2019-04-02,Graphic Novels,Savannah,"Graphic Novel inspired by the true story of Iva Toguri, a Japanese American woman trapped on the wrong side of the Pacific during WW2!",134,"{10: 44, 20: 102, 50: 26, 100: 9, 250: 9}",0,4988,$,7500,108.09,8107,220,21,1,0,190,5,8,Andre Frattino,25,1,GA,Funding Successful,Tokyo Rose: Zero Hour- a graphic novel of treason & intrigue
0.33,12.33,2019-05-02,2019-03-05,Performance Art,Minneapolis,"""The Tale of The Bloody Benders"" is a new play written by Braden Joseph for the MN Fringe 2019.",95,"{10: 1, 25: 1, 50: 0, 100: 0, 200: 0, 300: 0}",0,822,$,1500,2.47,37,3,0,First created,0,2,6,1,The Feral Theatre Company,0,1,MN,Funding Unsuccessful,The Tale of The Bloody Benders
1.87,62.73,2019-05-02,2019-04-02,Documentary,Tampa,A documentary about six women who stop at nothing to rescue stray dogs in Puerto Rico while pursuing change on the island.,122,"{1: 1, 5: 11, 20: 2, 32: 2, 35: 6, 50: 3, 75: 0, 100: 1, 120: 0, 150: 1, 200: 0, 500: 1, 550: 0, 2: 0}",0,3577,$,2500,102.88,2572,41,0,1,0,28,15,9,Kim Mniece,9,1,FL,Funding Successful,Linchpins of Dead Dog Island: A Documentary
0.33,15.5,2019-05-02,2019-04-02,Art,Los Angeles,American Classic Mean Cats Reimagined!,38,"{12: 0, 24: 1, 36: 0}",0,1909,$,600,5.17,31,2,0,2,0,1,3,0,Asie Co.,1,0,CA,Cancelled by Creator,The Mean Cats Enamel Pins
27.2,23.38,2019-05-02,2019-04-02,Tabletop Games,Lewiston,"Set in the world of Sherlock Holmes - deduce the criminal, their weapon and the planned location of the murder before it occurs.",128,"{1: 5, 2: 0, 4: 12, 19: 90, 32: 29}",0,2164,$,7270,44.39,3227,138,33,3,0,136,5,9,Puzzling Pixel Games,21,2,NY,Funding Unsuccessful,A Note for Murder
11.41,67.18,2019-05-02,2019-03-11,Nonfiction,Cape Coral,New book  + New Music,21,"{1: 1, 10: 18, 20: 20, 25: 32, 36: 67, 45: 31, 50: 33, 55: 2, 75: 27, 85: 1, 100: 5, 150: 2, 200: 2, 300: 9, 500: 1, 3: 0}",0,1158,$,10000,170.64,17064,254,3,1,0,251,22,19,kj52,2,1,FL,Funding Successful,"""What Happened Was..."""
